"﻿縣市","鄉鎮市區","村里","納稅單位","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺北市","松山區","中崙里","1412","2164630","1533","907","455","1802","3046.16","198.70"
"臺北市","松山區","自強里","3228","4498386","1394","841","413","1708","2685.42","192.70"
"臺北市","松山區","鵬程里","1852","2279390","1231","749","414","1514","1485.53","120.70"
"臺北市","松山區","東榮里","2924","4853375","1660","912","454","1904","3284.52","197.88"
"臺北市","松山區","介壽里","1555","2407651","1548","906","442","1889","3244.67","209.56"
"臺北市","松山區","東勢里","1597","2174535","1362","847","391","1643","2063.71","151.56"
"臺北市","松山區","東光里","2600","3394181","1305","779","394","1596","1886.60","144.52"
"臺北市","松山區","中正里","3471","5786935","1667","1026","477","2053","2167.93","130.03"
"臺北市","松山區","復盛里","2249","2436851","1084","741","409","1332","1164.60","107.48"
"臺北市","松山區","復勢里","2351","3033459","1290","811","420","1589","1708.62","132.42"
"臺北市","松山區","美仁里","1264","1806613","1429","899","427","1789","1748.91","122.36"
"臺北市","松山區","吉仁里","1386","1881966","1358","819","421","1685","1739.68","128.12"
"臺北市","松山區","精忠里","1577","2562417","1625","982","449","1952","3362.25","206.92"
"臺北市","松山區","東昌里","945","1472805","1559","918","416","1843","2716.01","174.27"
"臺北市","松山區","福成里","946","1732171","1831","899","419","1897","5695.35","311.04"
"臺北市","松山區","中華里","2325","4211157","1811","1005","479","2139","2829.61","156.22"
"臺北市","松山區","吉祥里","3204","3913526","1221","768","399","1495","1566.79","128.27"
"臺北市","松山區","新東里","1753","2070508","1181","781","410","1536","1304.37","110.44"
"臺北市","松山區","三民里","2509","3271597","1304","816","416","1563","1725.89","132.36"
"臺北市","松山區","復建里","1618","2179635","1347","889","423","1725","1509.31","112.04"
"臺北市","松山區","敦化里","2449","3483634","1422","877","467","1737","1911.22","134.36"
"臺北市","松山區","安平里","2976","3056857","1027","689","381","1293","1142.59","111.24"
"臺北市","松山區","富錦里","1816","2356196","1297","822","422","1617","1623.22","125.11"
"臺北市","松山區","莊敬里","1687","1746043","1035","750","421","1318","1109.50","107.20"
"臺北市","松山區","新益里","1632","1818994","1115","721","390","1498","1395.99","125.25"
"臺北市","松山區","富泰里","1687","2205079","1307","843","406","1657","1820.31","139.26"
"臺北市","松山區","龍田里","3630","5751475","1584","1045","494","2115","1767.57","111.56"
"臺北市","松山區","慈祐里","2428","2393420","986","683","367","1260","1079.98","109.56"
"臺北市","松山區","復源里","1091","1453617","1332","854","404","1615","2163.72","162.40"
"臺北市","松山區","民福里","2277","2542959","1117","736","405","1397","1271.13","113.82"
"臺北市","松山區","松基里","1388","2911446","2098","819","401","1730","16309.50","777.54"
"臺北市","松山區","新聚里","2949","3373427","1144","735","402","1403","1457.99","127.46"
"臺北市","松山區","民有里","3422","5637140","1647","849","427","1752","4413.81","267.94"
"臺北市","松山區","其他","251","258074","1028","733","465","1317","922.50","89.72"
"臺北市","松山區","合計","70449","97120148","1379","831","420","1646","3224.57","233.90"
"臺北市","大安區","建安里","1918","3039876","1585","863","387","1836","2798.00","176.54"
"臺北市","大安區","通安里","1914","2358251","1232","711","380","1477","1605.83","130.33"
"臺北市","大安區","民輝里","2566","4878840","1901","915","430","2073","4528.03","238.15"
"臺北市","大安區","德安里","2084","3570412","1713","893","412","1939","2983.43","174.14"
"臺北市","大安區","敦安里","2334","4242354","1818","995","471","2123","2813.49","154.79"
"臺北市","大安區","光明里","1297","2246154","1732","1096","512","2138","2139.48","123.54"
"臺北市","大安區","永康里","1365","2133014","1563","972","473","1852","2312.23","147.97"
"臺北市","大安區","福住里","2276","3835015","1685","1017","492","2101","2283.90","135.54"
"臺北市","大安區","仁愛里","2059","4153950","2017","1000","437","2173","4627.40","229.37"
"臺北市","大安區","義村里","2128","3338332","1569","775","383","1551","14497.21","924.12"
"臺北市","大安區","臥龍里","739","1102829","1492","924","417","1875","2013.62","134.93"
"臺北市","大安區","通化里","2093","2422355","1157","729","404","1412","1441.81","124.58"
"臺北市","大安區","龍生里","2387","3988748","1671","970","458","2039","2296.39","137.42"
"臺北市","大安區","新龍里","2408","3545882","1473","925","442","1899","1893.80","128.61"
"臺北市","大安區","住安里","1791","2335518","1304","768","411","1486","1984.82","152.21"
"臺北市","大安區","錦泰里","1319","2181234","1654","1039","438","2107","2117.64","128.05"
"臺北市","大安區","建倫里","2319","4386578","1892","959","403","2110","6769.87","357.89"
"臺北市","大安區","錦華里","2052","3539366","1725","1051","491","2090","5895.84","341.82"
"臺北市","大安區","光武里","2712","3643217","1343","819","382","1591","2763.68","205.73"
"臺北市","大安區","仁慈里","1982","3559340","1796","952","464","2065","4369.43","243.31"
"臺北市","大安區","黎孝里","2686","2933954","1092","758","408","1384","1177.18","107.77"
"臺北市","大安區","民炤里","3063","5999670","1959","992","438","2182","5814.24","296.83"
"臺北市","大安區","昌隆里","1223","1942707","1588","890","459","1911","2613.07","164.50"
"臺北市","大安區","黎和里","1702","1985279","1166","794","423","1472","1242.26","106.50"
"臺北市","大安區","龍雲里","1813","2953613","1629","866","426","1794","3035.66","186.34"
"臺北市","大安區","芳和里","1937","2229349","1151","763","391","1423","1469.29","127.66"
"臺北市","大安區","龍安里","2342","4231126","1807","1012","446","2101","3846.98","212.94"
"臺北市","大安區","義安里","2085","3844691","1844","917","440","2068","3691.98","200.22"
"臺北市","大安區","虎嘯里","1469","2281243","1553","907","420","1876","2334.72","150.34"
"臺北市","大安區","龍淵里","3240","4839859","1494","990","463","1927","1783.21","119.38"
"臺北市","大安區","龍坡里","2100","3355350","1598","998","472","2108","1921.42","120.25"
"臺北市","大安區","龍門里","1555","2767534","1780","1085","503","2217","2398.79","134.78"
"臺北市","大安區","敦煌里","2261","3637929","1609","956","458","1949","2402.94","149.34"
"臺北市","大安區","羣賢里","2227","3164367","1421","809","374","1686","1991.38","140.15"
"臺北市","大安區","車層里","2392","4043221","1690","880","410","1811","5374.19","317.94"
"臺北市","大安區","光信里","2757","4260737","1545","856","436","1742","2701.37","174.80"
"臺北市","大安區","和安里","2427","4353291","1794","1041","462","2104","3620.84","201.87"
"臺北市","大安區","正聲里","1806","3665399","2030","881","433","1946","11277.00","555.64"
"臺北市","大安區","誠安里","1556","1906932","1226","764","385","1560","1402.25","114.42"
"臺北市","大安區","華聲里","1573","2199569","1398","845","412","1635","1795.57","128.41"
"臺北市","大安區","臨江里","1317","1309416","994","682","389","1225","1110.22","111.66"
