area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
TPE,cama,台北敦南店,台北市敦化南路二段5號,大安區義安里,121.549153,25.032824,30537.58209428585,-1.0389453219592355,3844691.0,2370.0,4.0,217.0
TPE,cama,民生松江店,台北市中山區民生東路二段133號,中山區中庄里,121.532388,25.058088,34199.34850344049,-1.879026538898243,1857272.0,2506.0,3.7,107.0
TPE,cama,台北長安店,台北市中山區長安東路二段94號,中山區朱園里,121.534597,25.048324,16690.778379273743,-0.5000985576377885,2769267.0,2226.0,3.7,103.0
TPE,cama,台北長春店,台北市中山區長春路133-5號,中山區中吉里,121.531175,25.05495,30029.689818910883,-0.4022341195244472,2750941.0,4054.0,4.2,172.0
TPE,cama,台北行天宮,台北市中山區民權東路二段97號,中山區新福里,121.53238,25.062712,37267.48854840043,-1.0439016765057505,1839588.0,3293.0,4.4,205.0
TPE,cama,南京龍江店,台北市中山區南京東路三段82號,中山區力行里,121.539348,25.05175,21085.12931049232,0.0006004314568652,3990206.0,2892.0,4.1,234.0
TPE,cama,民生馬偕店,台北市中山區民生東路一段2號,中山區中山里,121.523249,25.057835,40836.41319827053,-0.122099768933559,2793229.0,2718.0,3.9,143.0
TPE,cama,台北天津店,台北市中山區長安東路一段19號,中山區正得里,121.522983,25.049633,24953.495137385096,-0.8080099136045386,1859218.0,2674.0,3.9,210.0
TPE,cama,民權西路店,台北市中山區民權西路73號,中山區集英里,121.519885,25.063037,20744.09637439897,-0.5990158578695226,2900878.0,2581.0,4.2,64.0
TPE,cama,中山農安店,台北市中山區中山北路三段25之10號,中山區晴光里,121.522484,25.065187,49924.21776174035,-0.5847909863359331,2439490.0,2161.0,3.8,147.0
TPE,cama,長春復興店,台北市中山區長春路366號,中山區龍洲里,121.542608,25.054472,70650.64035430548,-1.10069074675474,2228394.0,1842.0,4.0,148.0
TPE,cama,忠孝新生店,台北市中正區新生南路一段90號,中正區幸市里,121.53256,25.040386,26122.24180970343,-2.3789097471844656,2834326.0,4967.0,4.1,122.0
TPE,cama,台北小南門,台北市中正區廣州街10號,中正區南門里,121.508167,25.035506,8880.961197239543,-0.698778628129304,1801442.0,3333.0,4.2,283.0
TPE,cama,延平開封店,台北市中正區延平南路15號,中正區光復里,121.510784,25.045888,12649.652578401554,-0.5278111110776547,1658650.0,3334.0,4.1,413.0
TPE,cama,忠孝杭州店,台北市中正區忠孝東路二段30號,中正區幸福里,121.52779,25.043505,19973.064994366418,-1.4101797200920974,2460771.0,2883.0,3.9,300.0
TPE,cama,台北襄陽店,台北市中正區襄陽路35號,中正區黎明里,121.513723,25.043533,5734.29678372022,0.5857702086999723,1631191.0,3884.0,4.1,413.0
TPE,cama,台北南昌店,台北市中正區南昌路一段39號,中正區龍福里,121.517084,25.031563,26014.12965903349,-4.059159656295316,2650936.0,4439.0,4.1,81.0
TPE,cama,台北北醫店,台北市信義區莊敬路246號,信義區景新里,121.562296,25.029312,24066.68294620556,-0.8379766696634464,3119196.0,3591.0,3.9,166.0
TPE,cama,台北松德店,台北市信義區松德路163號,信義區安康里,121.574836,25.036353,21773.60486066081,-0.941526042059119,8391668.0,2173.0,4.0,110.0
TPE,cama,台北世貿店,台北市信義區信義路四段389號,信義區中興里,121.55842,25.033265,40963.870491628986,-2.777515761489635,1737789.0,3066.0,4.0,140.0
TPE,cama,莊敬松仁店,台北市信義區松仁路207-1號,信義區三犁里,121.568509,25.027041,9337.143941611226,-1.103594616103424,3526756.0,,3.8,86.0
TPE,cama,台北市府店,台北市信義區基隆路一段167號,信義區興雅里,121.565175,25.041675,22399.06076647384,-2.131715641858293,2435957.0,5774.0,4.1,56.0
TPE,cama,台北松仁店,台北市信義區松仁路32-36號,信義區西村里,121.568119,25.038786,11068.765051709444,-1.2116072327724936,1865725.0,2238.0,3.8,86.0
TPE,cama,新光A8店,台北市信義區松高路12號B2,信義區西村里,121.5668,25.038813,11068.765051709444,-1.2116072327724936,1865725.0,2238.0,3.4,84.0
TPE,cama,台北永春店,台北市信義區忠孝東路五段435-1號,信義區富台里,121.57583,25.041008,39816.76760778728,-0.7362009135914189,1981177.0,3282.0,4.1,97.0
TPE,cama,台北六張犁,台北市信義區基隆路二段195號,信義區黎順里,121.553191,25.024725,20686.3213333314,-1.9972378634456929,1702836.0,2320.0,3.9,166.0
TPE,cama,內湖大潤發,台北市內湖區舊宗路一段128號,內湖區湖元里,121.57832,25.060963,2354.8240154726204,-1.6090779492294278,2436938.0,1575.0,4.0,237.0
TPE,cama,台北內湖店,台北市內湖區內湖路一段417號,內湖區麗山里,121.571186,25.081591,36080.35939002989,-0.5595252527257344,2651133.0,2699.0,4.0,237.0
TPE,cama,內湖成功店,台北市內湖區成功路三段174巷18號,內湖區湖濱里,121.590492,25.081133,12754.927192873816,-0.4992986518906228,4397179.0,1178.0,4.0,237.0
TPE,cama,台北和碩立德店,台北市北投區立德路150-3號b1F,北投區一德里,121.473419,25.127317,2818.0324882780587,-1.13862105404016,2557267.0,1058.0,4.1,19.0
TPE,cama,台北石牌店,台北市北投區裕民四路3號1樓,北投區振華里,121.515987,25.115613,27806.720973650023,-1.32882704297795,3135363.0,3231.0,4.3,217.0
TPE,cama,台北和碩店,台北市北投區立功街76號,北投區一德里,121.469185,25.124789,2818.0324882780587,-1.13862105404016,2557267.0,1058.0,4.1,19.0
TPE,cama,台北奇岩店,台北市北投區北投路一段59號,北投區八仙里,121.500675,25.125938,1440.0679737137332,-1.8059738843639208,2105370.0,1746.0,4.1,211.0
TPE,cama,台北南港店,台北市南港區南港路一段153號,南港區南港里,121.613604,25.055077,16544.553038536433,0.6917206349828546,2200618.0,2609.0,4.8,4.0
TPE,cama,南港站前店,台北市南港區南港路二段6號,南港區東明里,121.605988,25.054352,18109.99350355522,5.35298623821879,2265416.0,1120.0,3.5,270.0
