type,type2,lat,long
0,cafe,25.032824,121.549153
0,cafe,25.058088,121.532388
0,cafe,25.048324,121.534597
0,cafe,25.05495,121.531175
0,cafe,25.062712,121.53238
0,cafe,25.05175,121.539348
0,cafe,25.057835,121.523249
0,cafe,25.049633,121.522983
0,cafe,25.063037,121.519885
0,cafe,25.065187,121.522484
0,cafe,25.054472,121.542608
0,cafe,25.040386,121.53256
0,cafe,25.035506,121.508167
0,cafe,25.045888,121.510784
0,cafe,25.043505,121.52779
0,cafe,25.043533,121.513723
0,cafe,25.031563,121.517084
0,cafe,25.029312,121.562296
0,cafe,25.036353,121.574836
0,cafe,25.033265,121.55842
0,cafe,25.027041,121.568509
0,cafe,25.041675,121.565175
0,cafe,25.038786,121.568119
0,cafe,25.038813,121.5668
0,cafe,25.041008,121.57583
0,cafe,25.024725,121.553191
0,cafe,25.060963,121.57832
0,cafe,25.081591,121.571186
0,cafe,25.081133,121.590492
0,cafe,25.127317,121.473419
0,cafe,25.115613,121.515987
0,cafe,25.124789,121.469185
0,cafe,25.125938,121.500675
0,cafe,25.055077,121.613604
0,cafe,25.054352,121.605988
0,cafe,25.052571,121.607496
0,cafe,25.105765,121.525004
0,cafe,25.102609,121.522936
0,cafe,25.050647,121.516749
0,cafe,25.03674512,121.5459544
0,cafe,25.033155,121.542124
0,cafe,25.033773,121.534294
0,cafe,25.036863,121.554514
0,cafe,25.024512,121.546876
0,cafe,25.025773,121.523644
0,cafe,25.034479,121.525865
0,cafe,25.017077,121.532236
0,cafe,25.042764,121.544088
0,cafe,25.039598,121.549903
0,cafe,25.051666,121.561695
0,cafe,25.051427,121.554503
0,cafe,25.061878,121.545553
0,cafe,25.047899,121.545759
0,cafe,25.047919,121.556076
0,cafe,25.058066,121.551548
0,cafe,25.049865,121.576162
0,cafe,25.003102,121.513233
0,cafe,25.005868,121.475106
0,cafe,25.005901,121.483748
0,cafe,24.999538,121.499165
0,cafe,24.97708,121.543032
0,cafe,24.978479,121.551109
0,cafe,24.983029,121.53662
0,cafe,25.017021,121.47945
0,cafe,25.017021,121.47945
0,cafe,24.997312,121.452312
0,cafe,25.031313,121.473828
0,cafe,25.012371,121.475555
0,cafe,25.008299,121.508225
0,cafe,25.011875,121.517269
0,cafe,25.011875,121.517269
0,cafe,25.007345,121.517608
0,cafe,25.06162,121.648248
0,cafe,25.185673,121.444003
0,cafe,25.084719,121.46095
0,cafe,25.046047,121.510881
0,cafe,25.056664,121.546313
0,cafe,25.026423,121.521719
0,cafe,25.044796,121.568889
0,cafe,25.034524,121.507396
0,cafe,25.060434,121.523898
0,cafe,25.042748,121.539868
0,cafe,25.038872,121.552853
0,cafe,25.061702,121.534769
0,cafe,25.057182,121.551755
0,cafe,25.041235,121.531428
0,cafe,25.05685,121.613612
0,cafe,25.040873,121.579292
0,cafe,25.061022,121.547666
0,cafe,25.047194,121.541926
0,cafe,25.050653,121.5448
0,cafe,25.053708,121.533525
0,cafe,25.043631,121.524772
0,cafe,25.030539,121.550353
0,cafe,25.051649,121.56258
0,cafe,25.016876,121.532938
0,cafe,25.024049,121.55194
0,cafe,25.052212,121.558134
0,cafe,25.051451,121.520449
0,cafe,25.079698,121.557175
0,cafe,25.065359,121.54105
0,cafe,25.05261,121.541998
0,cafe,25.062132,121.54009
0,cafe,25.051819,121.535844
0,cafe,25.048335,121.533957
0,cafe,25.060994,121.543494
0,cafe,25.051881,121.529445
0,cafe,25.057821,121.532445
0,cafe,25.08302,121.546639
0,cafe,25.052855,121.534899
0,cafe,25.055067,121.523546
0,cafe,25.063825,121.533458
0,cafe,25.063545,121.519997
0,cafe,25.045309,121.543651
0,cafe,25.062974,121.52217
0,cafe,25.065311,121.524361
0,cafe,25.042279,121.529391
0,cafe,25.044699,121.5167
0,cafe,25.044006,121.513551
0,cafe,25.04211,121.509955
0,cafe,25.032416,121.516716
0,cafe,25.046215,121.516436
0,cafe,25.029879,121.518324
0,cafe,25.035858,121.524591
0,cafe,25.036911,121.5325
0,cafe,25.046303,121.515823
0,cafe,25.041399,121.517172
0,cafe,25.037362,121.578183
0,cafe,25.040557,121.562096
0,cafe,25.041308,121.565943
0,cafe,25.043866,121.575353
0,cafe,25.024084,121.555904
0,cafe,25.028537,121.564336
0,cafe,25.02458,121.569398
0,cafe,25.038018,121.583986
0,cafe,25.040686,121.576477
0,cafe,25.035983,121.575238
0,cafe,25.07329,121.606384
0,cafe,25.078195,121.566896
0,cafe,25.06911,121.592285
0,cafe,25.068729,121.585179
0,cafe,25.060141,121.575365
0,cafe,25.084081,121.594547
0,cafe,25.079567,121.572708
0,cafe,25.082279,121.592862
0,cafe,25.08676,121.561595
0,cafe,25.083244,121.567017
0,cafe,25.056961,121.576061
0,cafe,25.073983,121.579038
0,cafe,25.078243,121.571226
0,cafe,25.076965,121.582894
0,cafe,25.069306,121.613265
0,cafe,25.116164,121.516216
0,cafe,25.109893,121.519946
0,cafe,25.132964,121.500097
0,cafe,25.137847,121.503097
0,cafe,25.054943,121.605915
0,cafe,25.056376,121.617345
0,cafe,25.059222,121.615185
0,cafe,25.04379867,121.5828238
0,cafe,25.0505,121.580437
0,cafe,25.053858,121.592322
0,cafe,25.052669,121.607208
0,cafe,25.052669,121.607208
0,cafe,25.105267,121.523185
0,cafe,25.083908,121.524356
0,cafe,25.102298,121.524107
0,cafe,25.118237,121.534398
0,cafe,25.094446,121.545751
0,cafe,25.091701,121.520843
0,cafe,25.116789,121.53191
0,cafe,25.084911,121.52265
0,cafe,25.081327,121.522968
0,cafe,25.094663,121.523719
0,cafe,25.095569,121.521574
0,cafe,25.07214,121.514289
0,cafe,25.053118,121.518932
0,cafe,25.049762,121.51774
0,cafe,25.057327,121.519026
0,cafe,25.072524,121.518561
0,cafe,25.070682,121.519018
0,cafe,25.027054,121.52528
0,cafe,25.016981,121.5337
0,cafe,25.021629,121.542314
0,cafe,25.043464,121.557481
0,cafe,25.027857,121.548387
0,cafe,25.036949,121.550222
0,cafe,25.038978,121.557446
0,cafe,25.030006,121.554073
0,cafe,25.033165,121.544462
0,cafe,25.028631,121.556734
0,cafe,25.028652,121.539463
0,cafe,25.042764,121.544214
0,cafe,25.033767,121.528143
0,cafe,25.033322,121.536285
0,cafe,25.031784,121.557275
0,cafe,25.026091,121.532298
0,cafe,25.036766,121.554516
0,cafe,25.029717,121.529417
