年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
110,11,1,林口區,南勢里,40,12597,13213,14578,27791
110,11,2,林口區,湖南里,48,11871,13288,14473,27761
110,11,3,淡水區,崁頂里,15,11239,10709,11490,22199
110,11,4,三峽區,龍學里,45,7136,7829,9013,16842
110,11,5,樹林區,南園里,52,6709,7785,8389,16174
110,11,6,蘆洲區,正義里　,25,5787,7436,8099,15535
110,11,7,板橋區,溪福里,46,5198,7283,7521,14804
110,11,8,新店區,公崙里,37,5614,6723,7205,13928
110,11,9,新莊區,中原里,33,5756,6590,7216,13806
110,11,10,新莊區,西盛里,29,5103,6494,6740,13234
110,11,11,新莊區,立廷里,40,5112,6167,6964,13131
110,11,12,新莊區,雙鳳里,36,4790,6182,6339,12521
110,11,13,林口區,西林里,37,4703,5905,5948,11853
110,11,14,五股區,成泰里,34,5213,5813,5792,11605
110,11,15,淡水區,北投里,22,5098,5462,6099,11561
110,11,16,新店區,香坡里,46,5145,5625,5875,11500
110,11,17,淡水區,竿蓁里,26,6013,5197,6175,11372
110,11,18,蘆洲區,水湳里　,25,3929,5333,5582,10915
110,11,19,板橋區,忠翠里,28,4526,5091,5823,10914
110,11,20,新莊區,龍鳳里,30,4377,5133,5766,10899
110,11,21,永和區,保順里,38,4582,5016,5783,10799
110,11,22,淡水區,大庄里,12,5398,4940,5769,10709
110,11,23,三峽區,鳶山里,28,4058,5258,5358,10616
110,11,24,三峽區,龍埔里,36,4069,5239,5349,10588
110,11,25,樹林區,柑園里,37,4303,5010,5353,10363
110,11,26,新莊區,頭前里,16,4753,5025,5318,10343
110,11,27,板橋區,崑崙里,36,3767,5012,5247,10259
110,11,28,泰山區,全興里,25,3882,4853,5114,9967
110,11,29,新莊區,中平里,23,3724,4585,5341,9926
110,11,30,三重區,過田里,28,5483,5427,4393,9820
110,11,31,蘆洲區,水河里　,18,3478,4807,4992,9799
110,11,32,板橋區,社後里,28,5615,5572,4225,9797
110,11,33,林口區,麗林里,32,3842,4632,5155,9787
110,11,34,淡水區,新春里,15,3947,4666,5052,9718
110,11,35,新店區,柴埕里,34,3771,4581,4852,9433
110,11,36,鶯歌區,尖山里,16,3572,4705,4678,9383
110,11,37,新莊區,丹鳳里,28,3616,4548,4833,9381
110,11,38,中和區,平河里,67,3813,4449,4848,9297
110,11,39,新店區,張北里,32,4182,4380,4905,9285
110,11,40,板橋區,深丘里,32,3734,4437,4789,9226
110,11,41,新莊區,中信里,34,3211,4476,4731,9207
110,11,42,新莊區,昌平里,21,4140,4189,4817,9006
110,11,43,三重區,溪美里,31,3635,4336,4619,8955
110,11,44,板橋區,重慶里,38,3312,4276,4572,8848
110,11,45,三重區,碧華里,16,3923,4224,4616,8840
110,11,46,鶯歌區,永昌里,22,2899,4366,4460,8826
110,11,47,鶯歌區,二橋里,26,3152,4488,4304,8792
110,11,48,土城區,永寧里,37,3257,4364,4365,8729
110,11,49,泰山區,義仁里,39,3243,4288,4418,8706
110,11,50,土城區,埤林里,38,3174,4167,4465,8632
110,11,51,中和區,積穗里,45,3484,4061,4304,8365
110,11,52,板橋區,新翠里,29,3289,3954,4373,8327
110,11,53,汐止區,忠孝里,38,3874,4003,4320,8323
110,11,54,五股區,水碓里,36,3048,4109,4151,8260
110,11,55,新店區,安和里,28,3381,3998,4220,8218
110,11,56,板橋區,海山里,23,2816,3896,4320,8216
110,11,57,土城區,清水里,32,2962,4034,4176,8210
110,11,58,中和區,新南里,49,3566,3767,4422,8189
110,11,59,中和區,中原里,24,3792,3969,4161,8130
110,11,60,五股區,成功里,34,3541,3955,4092,8047
110,11,61,林口區,東勢里,42,2917,3890,4125,8015
110,11,62,板橋區,華東里,32,3561,3870,4143,8013
110,11,63,蘆洲區,成功里　,29,2658,3853,4135,7988
110,11,64,汐止區,中興里,32,3676,3872,4073,7945
110,11,65,中和區,華新里,48,3269,3805,4126,7931
110,11,66,板橋區,華江里,30,3270,3659,4239,7898
110,11,67,淡水區,新興里,9,3379,3635,4232,7867
110,11,68,新店區,五峯里,25,3479,3612,4153,7765
110,11,69,三峽區,龍恩里,31,3281,3695,4065,7760
110,11,70,三峽區,安溪里,38,2814,3793,3939,7732
110,11,71,三峽區,永舘里,25,2859,3715,4006,7721
110,11,72,三重區,光明里,30,3092,3749,3960,7709
110,11,73,汐止區,厚德里,30,3188,3801,3877,7678
110,11,74,新莊區,光華里,28,2716,3779,3871,7650
110,11,75,土城區,員林里,34,3207,3646,3974,7620
110,11,76,土城區,峯廷里,31,2678,3800,3804,7604
110,11,77,鶯歌區,建國里,34,2752,3661,3934,7595
110,11,78,八里區,舊城里,22,3026,3693,3885,7578
110,11,79,林口區,仁愛里,30,2997,3586,3946,7532
110,11,80,中和區,外南里,31,4364,4182,3330,7512
110,11,81,新店區,中興里,18,4221,3922,3567,7489
110,11,82,板橋區,福安里,25,3434,3599,3890,7489
110,11,83,板橋區,成和里,24,2861,3662,3812,7474
110,11,84,八里區,龍源里,30,3297,3613,3843,7456
110,11,85,板橋區,德翠里,26,2725,3624,3774,7398
110,11,86,新店區,寶福里,29,3297,3567,3820,7387
110,11,87,淡水區,民生里,32,3563,3308,4014,7322
110,11,88,汐止區,復興里,24,3349,3401,3910,7311
110,11,89,汐止區,福安里,16,2896,3498,3786,7284
110,11,90,新莊區,裕民里,32,2656,3592,3682,7274
110,11,91,新莊區,後港里,31,2606,3529,3703,7232
110,11,92,板橋區,溪頭里,25,3203,3492,3713,7205
110,11,93,土城區,平和里,34,2476,3491,3701,7192
110,11,94,板橋區,華德里,32,3000,3433,3751,7184
110,11,95,永和區,保安里,34,2934,3410,3762,7172
110,11,96,板橋區,中山里,32,3139,3507,3655,7162
110,11,97,淡水區,福德里,19,3537,3428,3732,7160
110,11,98,土城區,日和里,31,2845,3456,3653,7109
110,11,99,蘆洲區,永康里　,22,2482,3395,3707,7102
110,11,100,泰山區,山腳里,45,2565,3561,3538,7099
110,11,101,三芝區,埔坪里,35,2951,3552,3532,7084
110,11,102,三峽區,介壽里,28,2790,3603,3428,7031
110,11,103,土城區,延和里,32,2686,3348,3646,6994
110,11,104,中和區,員山里,42,2848,3379,3611,6990
110,11,105,中和區,中興里,38,2824,3346,3636,6982
110,11,106,土城區,清溪里,53,2665,3388,3557,6945
110,11,107,板橋區,廣德里,25,2629,3392,3539,6931
110,11,108,新莊區,建安里,34,2558,3305,3560,6865
110,11,109,蘆洲區,樓厝里　,24,2668,3323,3540,6863
110,11,110,三重區,富貴里,32,2946,3284,3505,6789
110,11,111,淡水區,八勢里,14,3722,3095,3691,6786
110,11,112,中和區,德行里,42,2844,3212,3545,6757
110,11,113,三重區,成功里,21,2943,3210,3533,6743
110,11,114,蘆洲區,永樂里　,27,2255,3302,3330,6632
110,11,115,新莊區,中港里,28,2252,3193,3429,6622
110,11,116,汐止區,湖興里,38,3027,3283,3287,6570
110,11,117,三重區,田中里,30,2369,3187,3348,6535
110,11,118,深坑區,埔新里,57,2681,3158,3366,6524
110,11,119,土城區,清和里,28,2360,3240,3269,6509
110,11,120,中和區,連城里,48,2645,3102,3398,6500
110,11,121,新店區,信義里,31,3176,3070,3428,6498
110,11,122,五股區,成州里,27,2413,3276,3216,6492
110,11,123,新莊區,中美里,24,2458,3075,3313,6388
110,11,124,中和區,秀景里,43,2883,3052,3322,6374
110,11,125,蘆洲區,中原里　,29,2318,3089,3274,6363
110,11,126,蘆洲區,恆德里　,21,2601,3026,3323,6349
110,11,127,樹林區,保安里,34,2326,3145,3191,6336
110,11,128,三重區,光陽里,33,2661,3144,3188,6332
110,11,129,淡水區,鄧公里,17,2674,2954,3369,6323
110,11,130,板橋區,埔墘里,23,2608,2996,3326,6322
110,11,131,蘆洲區,南港里　,20,2099,3065,3233,6298
110,11,132,三重區,田安里,42,2428,3032,3266,6298
110,11,133,淡水區,竹圍里,15,3005,2860,3428,6288
110,11,134,三峽區,礁溪里,37,2420,3045,3232,6277
110,11,135,汐止區,湖光里,30,3057,2969,3293,6262
110,11,136,新店區,德安里,28,2317,3106,3155,6261
110,11,137,汐止區,江北里,30,2583,3206,3035,6241
110,11,138,新莊區,立基里,32,2342,3050,3191,6241
110,11,139,土城區,金城里,26,2401,2946,3293,6239
110,11,140,樹林區,東陽里,31,2268,3095,3138,6233
110,11,141,板橋區,懷翠里,26,2269,3074,3136,6210
110,11,142,鶯歌區,鳳鳴里,29,2494,3078,3124,6202
110,11,143,蘆洲區,玉清里　,21,2400,3013,3188,6201
110,11,144,新莊區,民安里,33,2160,3003,3197,6200
110,11,145,新莊區,福興里,17,2260,3108,3076,6184
110,11,146,汐止區,自強里,25,2656,2935,3242,6177
110,11,147,新店區,中正里,24,2651,2847,3325,6172
110,11,148,中和區,力行里,45,2454,2941,3198,6139
110,11,149,三重區,永豐里,32,2159,2986,3145,6131
110,11,150,板橋區,溪洲里,21,2224,2987,3137,6124
110,11,151,新店區,玫瑰里,28,2358,2919,3174,6093
110,11,152,板橋區,港嘴里,25,2406,2954,3086,6040
110,11,153,樹林區,山佳里,21,2009,3052,2976,6028
110,11,154,土城區,明德里,30,2445,2790,3226,6016
110,11,155,三重區,永發里,27,2202,2985,3028,6013
110,11,156,三重區,六福里,29,2086,2959,3033,5992
110,11,157,淡水區,水碓里,20,2311,2898,3084,5982
110,11,158,樹林區,彭興里,41,2112,2987,2991,5978
110,11,159,新店區,日興里,29,2312,2976,2970,5946
110,11,160,中和區,安平里,43,2728,2811,3101,5912
110,11,161,新店區,中央里,20,2723,2754,3141,5895
110,11,162,鶯歌區,南鶯里,34,2174,2856,3034,5890
110,11,163,新店區,雙城里,29,2224,2993,2879,5872
110,11,164,三重區,福祉里,20,2444,2836,3035,5871
110,11,165,板橋區,中正里,27,2509,2838,3031,5869
