id,time,city,address,filter,price,area,deposit,mgmt_fee,parking_space,min_lease,decor,register,g_location1,g_location2,g_address,lat,long,floor,bldg_floor,density_2021,ave_pop_growth,2019_income
11507540,21-Dec,TPE,台北市大安區忠孝東路四段170巷11號,大安區建倫里,280000,40,面議,3100.0,,1月,高檔裝潢,已辦,"25.0406600,121.5508890","25°02'26.4""N 121°33'03.2""E",10688台北市大安區忠孝東路四段170巷9號,25.04066,121.550889,1F,10F,37710.81747880526,-0.986778955176056,4386578.0
11813815,21-Dec,TPE,台北市松山區光復北路9號,松山區吉祥里,200000,58,面議,7590.0,平面式停車位，費用另計,3年,簡易裝潢,已辦,"25.0490590,121.5580538","25°02'56.6""N 121°33'29.0""E",105台北市松山區光復北路9號,25.049059,121.5580538,1F,11F,37638.327773377416,-2.22744392785527,3913526.0
11797143,21-Dec,TPE,台北市文山區萬隆街54號,文山區萬隆里,45000,26,面議,,平面式停車位，費用另計,一年,尚未裝潢,已辦,"25.0014721,121.5381671","25°00'05.3""N 121°32'17.4""E",116台北市文山區羅斯福路五段236巷,25.0014721,121.5381671,1F,6F,59693.131294214894,-1.047538955886059,3037729.0
11457573,21-Dec,TPE,台北市內湖區成功路四段30巷16號,內湖區內湖里,450000,220,面議,,平面式停車位，費用另計,一年,尚未裝潢,已辦,"25.0823210,121.5914660","25°04'56.4""N 121°35'29.3""E",114台北市內湖區內湖路二段376巷7號2號樓之1,25.082321,121.591466,1F,6F,39958.036112448775,0.6199535700751675,2799230.0
9058119,21-Dec,TPE,台北市大同區赤峰街8巷4號,大同區光能里,188000,30,面議,,,3年,簡易裝潢,已辦,"25.0539374,121.5190510","25°03'14.2""N 121°31'08.6""E",103台北市大同區赤峰街8巷8號,25.0539374,121.519051,1F,5F,43157.00380037817,-0.956768936386195,1841575.0
11603767,21-Dec,TPE,台北市南港區經貿二路,南港區三重里,548982,216,面議,,,兩年,尚未裝潢,已辦,"25.0588747,121.6137051","25°03'32.0""N 121°36'49.3""E",115台北市南港區三重路19-12號,25.0588747,121.6137051,1F,23F,7451.3328837748495,1.368015199290292,5225294.0
11842623,21-Dec,TPE,台北市內湖區行善路446號,內湖區石潭里,186980,93,二個月,10284.0,平面式停車位，費用另計,兩年,尚未裝潢,已辦,"25.0647383,121.5862080","25°03'53.1""N 121°35'10.4""E",114台北市內湖區行善路417巷34-22,25.0647383,121.586208,1F,9F,3375.4102863248645,-0.9928052403989676,2309549.0
11652214,21-Dec,TPE,台北市中山區中山北路二段,中山區集英里,230000,80,二個月,4000.0,,一年,中檔裝潢,已辦,"25.0638669,121.5219346","25°03'49.9""N 121°31'19.0""E",10491台北市中山區撫順街,25.0638669,121.5219346,1F,12F,20744.09637439897,-0.5990158578695226,2900878.0
11562769,21-Dec,TPE,台北市大同區南京西路,大同區建泰里,350000,48,面議,,,一年,中檔裝潢,已辦,"25.0521511,121.5188021","25°03'07.7""N 121°31'07.7""E",103台北市大同區南京西路64巷17號,25.0521511,121.5188021,1F,13F,30955.766105813625,-1.645254118838431,1562629.0
11838460,21-Dec,TPE,台北市中山區中山北路一段,中山區正得里,170000,22,面議,,,一年,簡易裝潢,已辦,"25.0515446,121.5226169","25°03'05.6""N 121°31'21.4""E",10491台北市中山區中山北路一段125號,25.0515446,121.5226169,1F,3F,24953.495137385096,-0.8080099136045386,1859218.0
