,village,year,household,pop_total,pop_M,pop_F
2,莊敬里,2017,2071,5530,2672,2858
3,東榮里,2017,3003,8291,3825,4466
4,三民里,2017,2942,7100,3285,3815
5,新益里,2017,1851,4807,2288,2519
6,富錦里,2017,2131,5422,2496,2926
7,新東里,2017,2001,5154,2433,2721
8,富泰里,2017,2013,4801,2099,2702
9,介壽里,2017,1763,4779,2264,2515
10,精忠里,2017,1755,4628,2150,2478
11,東光里,2017,3025,7349,3442,3907
12,龍田里,2017,4254,11107,5189,5918
13,東昌里,2017,1051,2946,1363,1583
14,東勢里,2017,1813,4586,2144,2442
15,中華里,2017,2554,6759,3159,3600
16,民有里,2017,3491,9063,4180,4883
17,民福里,2017,2668,6537,3100,3437
18,慈祐里,2017,4062,8180,4094,4086
19,安平里,2017,3574,8564,4085,4479
20,鵬程里,2017,2075,5473,2646,2827
21,自強里,2017,3772,10068,4735,5333
22,吉祥里,2017,3435,8743,4071,4672
23,新聚里,2017,3366,8322,3868,4454
24,復盛里,2017,2549,6650,3132,3518
25,中正里,2017,3955,10711,5004,5707
26,中崙里,2017,1722,4513,2107,2406
27,美仁里,2017,1355,3752,1777,1975
28,吉仁里,2017,1557,4224,1980,2244
29,敦化里,2017,2587,7480,3538,3942
30,復源里,2017,1244,3392,1619,1773
31,復建里,2017,1837,4862,2317,2545
32,復勢里,2017,2594,6648,3031,3617
33,福成里,2017,1006,2818,1286,1532
34,松基里,2017,1476,3729,1717,2012
36,西村里,2017,2934,6024,3121,2903
37,正和里,2017,1907,4793,2193,2600
38,興隆里,2017,1263,3000,1396,1604
39,中興里,2017,1753,3689,1637,2052
40,新仁里,2017,1387,3492,1628,1864
41,興雅里,2017,2470,5968,2808,3160
42,敦厚里,2017,2304,5436,2520,2916
43,廣居里,2017,3145,8367,3907,4460
44,安康里,2017,4415,11215,5284,5931
45,六藝里,2017,1407,3930,1910,2020
46,雅祥里,2017,2112,5229,2564,2665
47,五常里,2017,1478,3872,1884,1988
48,五全里,2017,2030,5135,2421,2714
49,永吉里,2017,1437,4166,2102,2064
50,長春里,2017,1700,4351,2100,2251
51,四育里,2017,2189,5749,2810,2939
52,四維里,2017,2167,5531,2640,2891
53,永春里,2017,1972,5088,2472,2616
54,富台里,2017,1958,4548,2126,2422
55,國業里,2017,3022,8169,3881,4288
56,松隆里,2017,888,2346,1154,1192
57,松友里,2017,2545,7184,3398,3786
58,松光里,2017,2084,5039,2434,2605
59,中坡里,2017,1694,4650,2255,2395
60,中行里,2017,2998,8337,4082,4255
61,大道里,2017,2407,6216,3029,3187
62,大仁里,2017,1646,4150,1975,2175
63,景新里,2017,2183,5312,2459,2853
64,惠安里,2017,2640,6786,3273,3513
65,三張里,2017,3658,9204,4422,4782
66,三犁里,2017,2165,5406,2547,2859
67,六合里,2017,2801,6901,3269,3632
68,泰和里,2017,3140,8195,3895,4300
69,景聯里,2017,1916,4725,2234,2491
70,景勤里,2017,1684,4182,2022,2160
71,雙和里,2017,2927,7413,3538,3875
72,嘉興里,2017,1307,3247,1506,1741
73,黎順里,2017,1782,4254,2050,2204
74,黎平里,2017,2994,7296,3420,3876
75,黎忠里,2017,2008,5025,2370,2655
76,黎安里,2017,940,2133,1044,1089
78,德安里,2017,2352,5939,2745,3194
79,仁慈里,2017,2031,5832,2740,3092
80,和安里,2017,2543,7478,3664,3814
81,民炤里,2017,3269,8430,3933,4497
82,仁愛里,2017,2204,5454,2437,3017
83,義村里,2017,2435,5726,2689,3037
84,民輝里,2017,2878,7044,3338,3706
85,昌隆里,2017,1240,3188,1509,1679
86,誠安里,2017,1808,4171,1884,2287
87,光武里,2017,3269,7781,3527,4254
88,龍坡里,2017,2305,6146,2867,3279
89,龍泉里,2017,2036,5098,2344,2754
90,古風里,2017,1799,4334,2038,2296
91,古莊里,2017,3126,7406,3397,4009
92,龍安里,2017,3748,8466,4194,4272
93,錦安里,2017,2372,6485,3013,3472
94,福住里,2017,2395,6894,3154,3740
95,永康里,2017,1502,4055,1927,2128
96,光明里,2017,1425,3889,1880,2009
97,錦泰里,2017,1396,3897,1881,2016
98,錦華里,2017,2180,6228,2938,3290
99,龍圖里,2017,2834,7064,3281,3783
100,新龍里,2017,2639,7184,3348,3836
101,龍陣里,2017,1434,3584,1698,1886
102,龍雲里,2017,1894,4996,2314,2682
103,龍生里,2017,2618,7183,3363,3820
104,住安里,2017,2311,5387,2522,2865
105,義安里,2017,2192,5479,2509,2970
106,通化里,2017,2616,6358,3017,3341
107,通安里,2017,2347,5772,2754,3018
108,臨江里,2017,1765,4294,2026,2268
109,法治里,2017,1867,4604,2151,2453
110,全安里,2017,1847,4549,2103,2446
111,群賢里,2017,2477,6027,2715,3312
112,群英里,2017,2993,7154,3311,3843
113,虎嘯里,2017,1730,3993,1837,2156
114,臥龍里,2017,848,2280,1040,1240
115,龍淵里,2017,3528,10323,4907,5416
116,龍門里,2017,1649,4626,2143,2483
117,大學里,2017,3524,8785,4088,4697
118,芳和里,2017,2317,5897,2850,3047
119,黎元里,2017,2073,5716,2733,2983
120,黎孝里,2017,3059,7832,3729,4103
121,黎和里,2017,2035,4933,2323,2610
122,建安里,2017,2129,5193,2274,2919
123,建倫里,2017,2444,6486,2902,3584
124,敦安里,2017,2493,6697,3054,3643
125,正聲里,2017,1948,5045,2367,2678
126,敦煌里,2017,2412,6629,3042,3587
127,華聲里,2017,1762,4418,2074,2344
128,車層里,2017,2502,6598,3032,3566
129,光信里,2017,3066,8139,3773,4366
130,學府里,2017,1072,2803,1403,1400
132,正守里,2017,1401,3263,1570,1693
133,正義里,2017,2773,5389,2341,3048
134,正得里,2017,2021,3754,1640,2114
135,民安里,2017,2140,4692,2224,2468
136,康樂里,2017,1515,2622,1099,1523
137,中山里,2017,3747,6773,2890,3883
138,聚盛里,2017,2386,4244,1825,2419
139,集英里,2017,3266,7390,3329,4061
140,聚葉里,2017,2012,4076,1841,2235
141,恆安里,2017,2606,5045,2175,2870
142,晴光里,2017,2963,5572,2465,3107
143,圓山里,2017,1972,4387,2016,2371
144,劍潭里,2017,1440,3917,1883,2034
145,大直里,2017,3612,9878,4669,5209
146,成功里,2017,2975,7193,3290,3903
147,永安里,2017,3855,9999,4632,5367
148,大佳里,2017,433,1147,632,515
149,新喜里,2017,2182,5580,2622,2958
150,新庄里,2017,2182,5204,2432,2772
151,新福里,2017,2227,5334,2463,2871
152,松江里,2017,2617,6777,3145,3632
153,新生里,2017,2166,5059,2326,2733
154,中庄里,2017,2332,5286,2521,2765
155,行政里,2017,3901,7697,3961,3736
156,行仁里,2017,3064,8524,4068,4456
157,行孝里,2017,1619,4258,2035,2223
158,下埤里,2017,3011,7777,3654,4123
159,江寧里,2017,2855,7233,3378,3855
160,江山里,2017,3112,7807,3735,4072
161,中吉里,2017,2355,5879,2818,3061
162,中原里,2017,2242,5208,2443,2765
163,興亞里,2017,2483,5427,2514,2913
164,中央里,2017,1569,3884,1815,2069
165,朱馥里,2017,2543,6241,2911,3330
166,龍洲里,2017,2120,5124,2360,2764
167,朱園里,2017,2239,4721,2166,2555
168,埤頭里,2017,1578,3529,1704,1825
169,朱崙里,2017,1334,2908,1316,1592
170,力行里,2017,2719,6175,2890,3285
171,復華里,2017,2151,4831,2204,2627
172,金泰里,2017,3462,8081,3921,4160
173,北安里,2017,1046,2825,1339,1486
175,水源里,2017,1382,3081,1422,1659
176,富水里,2017,1053,2687,1340,1347
177,文盛里,2017,1050,2363,1146,1217
178,林興里,2017,2042,4781,2265,2516
179,河堤里,2017,2002,4710,2257,2453
180,頂東里,2017,2813,6206,2862,3344
181,網溪里,2017,2530,5984,2789,3195
182,板溪里,2017,1508,3380,1583,1797
183,螢圃里,2017,2403,5567,2661,2906
184,螢雪里,2017,1815,4531,2189,2342
185,永功里,2017,2553,6505,3182,3323
186,永昌里,2017,2089,5185,2557,2628
187,龍興里,2017,1610,4456,2168,2288
188,忠勤里,2017,3027,6668,3157,3511
189,廈安里,2017,1822,4881,2335,2546
190,愛國里,2017,1351,3507,1579,1928
191,南門里,2017,1058,2894,1356,1538
192,龍光里,2017,1371,3785,1848,1937
193,南福里,2017,4503,11346,5469,5877
194,龍福里,2017,2477,6417,3082,3335
195,新營里,2017,3590,10148,4903,5245
196,建國里,2017,681,1740,783,957
197,光復里,2017,1835,4000,1876,2124
198,黎明里,2017,1645,3503,1704,1799
199,梅花里,2017,1392,3227,1530,1697
200,幸福里,2017,2894,6018,3067,2951
201,幸市里,2017,1980,4651,2211,2440
202,東門里,2017,1668,4184,2007,2177
203,文北里,2017,2325,5827,2773,3054
204,文祥里,2017,3119,8432,3974,4458
205,三愛里,2017,3519,8944,4119,4825
207,玉泉里,2017,1265,3101,1539,1562
208,建明里,2017,1521,3517,1703,1814
209,建功里,2017,2043,4895,2327,2568
210,建泰里,2017,1658,4032,1949,2083
211,永樂里,2017,2224,5589,2777,2812
212,朝陽里,2017,2007,4554,2181,2373
213,星明里,2017,2620,6432,3049,3383
214,光能里,2017,2009,5399,2611,2788
215,大有里,2017,1925,5114,2501,2613
216,延平里,2017,1862,4350,2102,2248
217,雙連里,2017,3784,10102,4921,5181
218,南芳里,2017,1668,4255,1985,2270
219,民權里,2017,2603,6902,3309,3593
220,景星里,2017,1170,2868,1411,1457
221,隆和里,2017,1225,3252,1586,1666
222,蓬萊里,2017,2079,5101,2480,2621
223,國順里,2017,1125,2929,1539,1390
224,國慶里,2017,1857,4582,2161,2421
225,揚雅里,2017,2256,4460,2393,2067
226,斯文里,2017,2330,5569,2762,2807
227,鄰江里,2017,2624,6668,3351,3317
228,至聖里,2017,3384,8348,3998,4350
229,老師里,2017,2345,6177,3083,3094
230,重慶里,2017,2526,6840,3271,3569
231,保安里,2017,1680,4242,2073,2169
233,福星里,2017,2714,5709,2709,3000
234,萬壽里,2017,1883,3507,1687,1820
235,西門里,2017,2026,3918,1799,2119
236,新起里,2017,3022,6685,3132,3553
237,菜園里,2017,2708,6271,3140,3131
238,青山里,2017,2648,5889,2911,2978
239,富民里,2017,2188,5057,2458,2599
240,福音里,2017,1779,4101,2003,2098
241,仁德里,2017,2165,4939,2378,2561
242,富福里,2017,3228,6332,3522,2810
243,頂碩里,2017,2992,7561,3793,3768
244,雙園里,2017,1896,4884,2426,2458
245,新忠里,2017,1553,3511,1679,1832
246,新和里,2017,3412,8626,4119,4507
247,糖?里,2017,2242,5719,2839,2880
248,和平里,2017,2821,7177,3536,3641
249,綠堤里,2017,1753,4500,2194,2306
250,華江里,2017,3255,8890,4340,4550
251,柳鄉里,2017,2114,5462,2726,2736
252,日善里,2017,1436,3898,1936,1962
253,新安里,2017,2649,6392,3168,3224
254,忠德里,2017,1733,4636,2308,2328
255,孝德里,2017,1281,3469,1725,1744
256,和德里,2017,2730,7354,3677,3677
257,錦德里,2017,2181,5795,2833,2962
258,全德里,2017,1744,4644,2319,2325
259,保德里,2017,1297,3548,1752,1796
260,銘德里,2017,1849,4866,2362,2504
261,榮德里,2017,1386,3780,1893,1887
262,壽德里,2017,1995,5453,2687,2766
263,興德里,2017,1772,5020,2471,2549
264,華中里,2017,2446,6521,3171,3350
265,日祥里,2017,2451,5748,2792,2956
266,忠貞里,2017,2287,4960,2376,2584
267,凌霄里,2017,1667,3848,1818,2030
268,騰雲里,2017,1330,3180,1555,1625
270,景行里,2017,3266,7953,3726,4227
271,景東里,2017,2942,7735,3611,4124
272,景美里,2017,2056,5504,2595,2909
273,景慶里,2017,2550,6994,3354,3640
274,景仁里,2017,1968,5195,2490,2705
275,景華里,2017,2261,6072,2846,3226
276,萬有里,2017,2204,5889,2828,3061
277,萬祥里,2017,1848,4686,2210,2476
278,萬隆里,2017,2897,7647,3602,4045
279,萬年里,2017,2274,5556,2678,2878
280,萬和里,2017,1414,3393,1613,1780
281,萬盛里,2017,2049,4888,2345,2543
282,興豐里,2017,2059,5124,2469,2655
283,興光里,2017,1467,3510,1616,1894
284,興家里,2017,2899,7856,3841,4015
285,興得里,2017,2397,6172,2973,3199
286,興業里,2017,2112,5542,2650,2892
287,興安里,2017,2712,6937,3279,3658
288,興福里,2017,2139,6161,2944,3217
289,興旺里,2017,3430,8700,4190,4510
290,興泰里,2017,1692,4079,1963,2116
291,興昌里,2017,2810,7003,3318,3685
292,試院里,2017,2788,7167,3422,3745
293,華興里,2017,3569,9328,4497,4831
294,明義里,2017,1703,4551,2193,2358
295,明興里,2017,2770,7111,3387,3724
296,木柵里,2017,3543,9190,4336,4854
297,木新里,2017,4491,10562,5328,5234
298,順興里,2017,2930,8062,3891,4171
299,樟林里,2017,3227,8888,4361,4527
300,樟新里,2017,2182,5915,2813,3102
301,樟腳里,2017,2121,6021,2914,3107
302,萬芳里,2017,3162,8313,3915,4398
303,博嘉里,2017,2269,6113,2936,3177
304,萬興里,2017,3268,8846,4305,4541
305,指南里,2017,1724,4098,2125,1973
306,老泉里,2017,366,981,507,474
307,忠順里,2017,1720,4141,1976,2165
308,萬美里,2017,2907,7652,3695,3957
309,政大里,2017,2967,8085,3899,4186
310,樟文里,2017,2326,6513,3199,3314
311,興邦里,2017,2138,5079,2398,2681
312,樟樹里,2017,1863,5212,2478,2734
314,南港里,2017,2764,6653,3419,3234
