,village,district,city
0,莊敬里,松山區,TPE
1,東榮里,松山區,TPE
2,三民里,松山區,TPE
3,新益里,松山區,TPE
4,富錦里,松山區,TPE
5,新東里,松山區,TPE
6,富泰里,松山區,TPE
7,介壽里,松山區,TPE
8,精忠里,松山區,TPE
9,東光里,松山區,TPE
10,龍田里,松山區,TPE
11,東昌里,松山區,TPE
12,東勢里,松山區,TPE
13,中華里,松山區,TPE
14,民有里,松山區,TPE
15,民福里,松山區,TPE
16,慈祐里,松山區,TPE
17,安平里,松山區,TPE
18,鵬程里,松山區,TPE
19,自強里,松山區,TPE
20,吉祥里,松山區,TPE
21,新聚里,松山區,TPE
22,復盛里,松山區,TPE
23,中正里,松山區,TPE
24,中崙里,松山區,TPE
25,美仁里,松山區,TPE
26,吉仁里,松山區,TPE
27,敦化里,松山區,TPE
28,復源里,松山區,TPE
29,復建里,松山區,TPE
30,復勢里,松山區,TPE
31,福成里,松山區,TPE
32,松基里,松山區,TPE
33,西村里,信義區,TPE
34,正和里,信義區,TPE
35,興隆里,信義區,TPE
36,中興里,信義區,TPE
37,新仁里,信義區,TPE
38,興雅里,信義區,TPE
39,敦厚里,信義區,TPE
40,廣居里,信義區,TPE
41,安康里,信義區,TPE
42,六藝里,信義區,TPE
43,雅祥里,信義區,TPE
44,五常里,信義區,TPE
45,五全里,信義區,TPE
46,永吉里,信義區,TPE
47,長春里,信義區,TPE
48,四育里,信義區,TPE
49,四維里,信義區,TPE
50,永春里,信義區,TPE
51,富台里,信義區,TPE
52,國業里,信義區,TPE
53,松隆里,信義區,TPE
54,松友里,信義區,TPE
55,松光里,信義區,TPE
56,中坡里,信義區,TPE
57,中行里,信義區,TPE
58,大道里,信義區,TPE
59,大仁里,信義區,TPE
60,景新里,信義區,TPE
61,惠安里,信義區,TPE
62,三張里,信義區,TPE
63,三犁里,信義區,TPE
64,六合里,信義區,TPE
65,泰和里,信義區,TPE
66,景聯里,信義區,TPE
67,景勤里,信義區,TPE
68,雙和里,信義區,TPE
69,嘉興里,信義區,TPE
70,黎順里,信義區,TPE
71,黎平里,信義區,TPE
72,黎忠里,信義區,TPE
73,黎安里,信義區,TPE
74,德安里,大安區,TPE
75,仁慈里,大安區,TPE
76,和安里,大安區,TPE
77,民炤里,大安區,TPE
78,仁愛里,大安區,TPE
79,義村里,大安區,TPE
80,民輝里,大安區,TPE
81,昌隆里,大安區,TPE
82,誠安里,大安區,TPE
83,光武里,大安區,TPE
84,龍坡里,大安區,TPE
85,龍泉里,大安區,TPE
86,古風里,大安區,TPE
87,古莊里,大安區,TPE
88,龍安里,大安區,TPE
89,錦安里,大安區,TPE
90,福住里,大安區,TPE
91,永康里,大安區,TPE
92,光明里,大安區,TPE
93,錦泰里,大安區,TPE
94,錦華里,大安區,TPE
95,龍圖里,大安區,TPE
96,新龍里,大安區,TPE
97,龍陣里,大安區,TPE
98,龍雲里,大安區,TPE
99,龍生里,大安區,TPE
100,住安里,大安區,TPE
101,義安里,大安區,TPE
102,通化里,大安區,TPE
103,通安里,大安區,TPE
104,臨江里,大安區,TPE
105,法治里,大安區,TPE
106,全安里,大安區,TPE
107,群賢里,大安區,TPE
108,群英里,大安區,TPE
109,虎嘯里,大安區,TPE
110,臥龍里,大安區,TPE
111,龍淵里,大安區,TPE
112,龍門里,大安區,TPE
113,大學里,大安區,TPE
114,芳和里,大安區,TPE
115,黎元里,大安區,TPE
116,黎孝里,大安區,TPE
117,黎和里,大安區,TPE
118,建安里,大安區,TPE
119,建倫里,大安區,TPE
120,敦安里,大安區,TPE
121,正聲里,大安區,TPE
122,敦煌里,大安區,TPE
123,華聲里,大安區,TPE
124,車層里,大安區,TPE
125,光信里,大安區,TPE
126,學府里,大安區,TPE
127,正守里,中山區,TPE
128,正義里,中山區,TPE
129,正得里,中山區,TPE
130,民安里,中山區,TPE
131,康樂里,中山區,TPE
132,中山里,中山區,TPE
133,聚盛里,中山區,TPE
134,集英里,中山區,TPE
135,聚葉里,中山區,TPE
136,恆安里,中山區,TPE
137,晴光里,中山區,TPE
138,圓山里,中山區,TPE
139,劍潭里,中山區,TPE
140,大直里,中山區,TPE
141,成功里,中山區,TPE
142,永安里,中山區,TPE
143,大佳里,中山區,TPE
144,新喜里,中山區,TPE
145,新庄里,中山區,TPE
146,新福里,中山區,TPE
147,松江里,中山區,TPE
148,新生里,中山區,TPE
149,中庄里,中山區,TPE
150,行政里,中山區,TPE
151,行仁里,中山區,TPE
152,行孝里,中山區,TPE
153,下埤里,中山區,TPE
154,江寧里,中山區,TPE
155,江山里,中山區,TPE
156,中吉里,中山區,TPE
157,中原里,中山區,TPE
158,興亞里,中山區,TPE
159,中央里,中山區,TPE
160,朱馥里,中山區,TPE
161,龍洲里,中山區,TPE
162,朱園里,中山區,TPE
163,埤頭里,中山區,TPE
164,朱崙里,中山區,TPE
165,力行里,中山區,TPE
166,復華里,中山區,TPE
167,金泰里,中山區,TPE
168,北安里,中山區,TPE
169,水源里,中正區,TPE
170,富水里,中正區,TPE
171,文盛里,中正區,TPE
172,林興里,中正區,TPE
173,河堤里,中正區,TPE
174,頂東里,中正區,TPE
175,網溪里,中正區,TPE
176,板溪里,中正區,TPE
177,螢圃里,中正區,TPE
178,螢雪里,中正區,TPE
179,永功里,中正區,TPE
180,永昌里,中正區,TPE
181,龍興里,中正區,TPE
182,忠勤里,中正區,TPE
183,廈安里,中正區,TPE
184,愛國里,中正區,TPE
185,南門里,中正區,TPE
186,龍光里,中正區,TPE
187,南福里,中正區,TPE
188,龍福里,中正區,TPE
189,新營里,中正區,TPE
190,建國里,中正區,TPE
191,光復里,中正區,TPE
192,黎明里,中正區,TPE
193,梅花里,中正區,TPE
194,幸福里,中正區,TPE
195,幸市里,中正區,TPE
196,東門里,中正區,TPE
197,文北里,中正區,TPE
198,文祥里,中正區,TPE
199,三愛里,中正區,TPE
200,玉泉里,大同區,TPE
201,建明里,大同區,TPE
202,建功里,大同區,TPE
203,建泰里,大同區,TPE
204,永樂里,大同區,TPE
205,朝陽里,大同區,TPE
206,星明里,大同區,TPE
207,光能里,大同區,TPE
208,大有里,大同區,TPE
209,延平里,大同區,TPE
210,雙連里,大同區,TPE
211,南芳里,大同區,TPE
212,民權里,大同區,TPE
213,景星里,大同區,TPE
214,隆和里,大同區,TPE
215,蓬萊里,大同區,TPE
216,國順里,大同區,TPE
217,國慶里,大同區,TPE
218,揚雅里,大同區,TPE
219,斯文里,大同區,TPE
220,鄰江里,大同區,TPE
221,至聖里,大同區,TPE
222,老師里,大同區,TPE
223,重慶里,大同區,TPE
224,保安里,大同區,TPE
225,福星里,萬華區,TPE
226,萬壽里,萬華區,TPE
227,西門里,萬華區,TPE
228,新起里,萬華區,TPE
229,菜園里,萬華區,TPE
230,青山里,萬華區,TPE
231,富民里,萬華區,TPE
232,福音里,萬華區,TPE
233,仁德里,萬華區,TPE
234,富福里,萬華區,TPE
235,頂碩里,萬華區,TPE
236,雙園里,萬華區,TPE
237,新忠里,萬華區,TPE
238,新和里,萬華區,TPE
239,糖?里,萬華區,TPE
240,和平里,萬華區,TPE
241,綠堤里,萬華區,TPE
242,華江里,萬華區,TPE
243,柳鄉里,萬華區,TPE
244,日善里,萬華區,TPE
245,新安里,萬華區,TPE
246,忠德里,萬華區,TPE
247,孝德里,萬華區,TPE
248,和德里,萬華區,TPE
249,錦德里,萬華區,TPE
250,全德里,萬華區,TPE
251,保德里,萬華區,TPE
252,銘德里,萬華區,TPE
253,榮德里,萬華區,TPE
254,壽德里,萬華區,TPE
255,興德里,萬華區,TPE
256,華中里,萬華區,TPE
257,日祥里,萬華區,TPE
258,忠貞里,萬華區,TPE
259,凌霄里,萬華區,TPE
260,騰雲里,萬華區,TPE
261,景行里,文山區,TPE
262,景東里,文山區,TPE
263,景美里,文山區,TPE
264,景慶里,文山區,TPE
265,景仁里,文山區,TPE
266,景華里,文山區,TPE
267,萬有里,文山區,TPE
268,萬祥里,文山區,TPE
269,萬隆里,文山區,TPE
270,萬年里,文山區,TPE
271,萬和里,文山區,TPE
272,萬盛里,文山區,TPE
273,興豐里,文山區,TPE
274,興光里,文山區,TPE
275,興家里,文山區,TPE
276,興得里,文山區,TPE
277,興業里,文山區,TPE
278,興安里,文山區,TPE
279,興福里,文山區,TPE
280,興旺里,文山區,TPE
281,興泰里,文山區,TPE
282,興昌里,文山區,TPE
283,試院里,文山區,TPE
284,華興里,文山區,TPE
285,明義里,文山區,TPE
286,明興里,文山區,TPE
287,木柵里,文山區,TPE
288,木新里,文山區,TPE
289,順興里,文山區,TPE
290,樟林里,文山區,TPE
291,樟新里,文山區,TPE
292,樟腳里,文山區,TPE
293,萬芳里,文山區,TPE
294,博嘉里,文山區,TPE
295,萬興里,文山區,TPE
296,指南里,文山區,TPE
297,老泉里,文山區,TPE
298,忠順里,文山區,TPE
299,萬美里,文山區,TPE
300,政大里,文山區,TPE
301,樟文里,文山區,TPE
302,興邦里,文山區,TPE
303,樟樹里,文山區,TPE
304,南港里,南港區,TPE
305,中南里,南港區,TPE
306,新富里,南港區,TPE
307,三重里,南港區,TPE
308,東新里,南港區,TPE
309,新光里,南港區,TPE
310,東明里,南港區,TPE
311,西新里,南港區,TPE
312,玉成里,南港區,TPE
313,合成里,南港區,TPE
314,成福里,南港區,TPE
315,萬福里,南港區,TPE
316,鴻福里,南港區,TPE
317,百福里,南港區,TPE
318,聯成里,南港區,TPE
319,舊莊里,南港區,TPE
320,中研里,南港區,TPE
321,九如里,南港區,TPE
322,仁福里,南港區,TPE
323,重陽里,南港區,TPE
324,西湖里,內湖區,TPE
325,西康里,內湖區,TPE
326,西安里,內湖區,TPE
327,港墘里,內湖區,TPE
328,港都里,內湖區,TPE
329,港富里,內湖區,TPE
330,港華里,內湖區,TPE
331,內湖里,內湖區,TPE
332,湖濱里,內湖區,TPE
333,紫星里,內湖區,TPE
334,大湖里,內湖區,TPE
335,金龍里,內湖區,TPE
336,金瑞里,內湖區,TPE
337,碧山里,內湖區,TPE
