VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,area
"64000130006",高雄市,林園區,中門里,Zhongmen Vil.,E,"64000",E13,"64000130",,2101254.07
"64000130008",高雄市,林園區,港埔里,Gangpu Vil.,E,"64000",E13,"64000130",,1306342.73
"64000100010",高雄市,旗津區,上竹里,Shangzhu Vil.,E,"64000",E10,"64000100",,1130976.30
"64000100013",高雄市,旗津區,中興里,Zhongxing Vil.,E,"64000",E10,"64000100",,2653456.48
"09007010006",連江縣,南竿鄉,津沙村,Jinsha Vil.,Z,"09007",Z01,"09007010",,1117516.67
"09007010007",連江縣,南竿鄉,馬祖村,Matsu Vil.,Z,"09007",Z01,"09007010",,740052.98
"09007010009",連江縣,南竿鄉,四維村,Siwei Vil.,Z,"09007",Z01,"09007010",,868891.78
"09007020002",連江縣,北竿鄉,后沃村,Houwo Vil.,Z,"09007",Z02,"09007020",,887019.16
"10013020003",屏東縣,潮州鎮,新榮里,Xinrong Vil.,T,"10013",T02,"10013020",,149004.28
"10013020004",屏東縣,潮州鎮,新生里,Xinsheng Vil.,T,"10013",T02,"10013020",,149029.00
"10013020005",屏東縣,潮州鎮,光華里,Guanghua Vil.,T,"10013",T02,"10013020",,703248.72
"10013020006",屏東縣,潮州鎮,彭城里,Pengcheng Vil.,T,"10013",T02,"10013020",,1158518.35
"10013020007",屏東縣,潮州鎮,三星里,Sanxing Vil.,T,"10013",T02,"10013020",,2023557.64
"10013020014",屏東縣,潮州鎮,富春里,Fuchun Vil.,T,"10013",T02,"10013020",,314494.66
"10015090001",花蓮縣,瑞穗鄉,瑞穗村,Ruisui Vil.,U,"10015",U09,"10015090",,1497522.61
"09007020006",連江縣,北竿鄉,白沙村,Baisha Vil.,Z,"09007",Z02,"09007020",,1109026.82
"09007030001",連江縣,莒光鄉,青帆村,Qingfan Vil.,Z,"09007",Z03,"09007030",,536477.56
"09007030002",連江縣,莒光鄉,田沃村,Tianwo Vil.,Z,"09007",Z03,"09007030",,759377.51
"09007030003",連江縣,莒光鄉,西坵村,Xiqiu Vil.,Z,"09007",Z03,"09007030",,869762.84
"09007030004",連江縣,莒光鄉,福正村,Fuzheng Vil.,Z,"09007",Z03,"09007030",,557725.76
"09007030005",連江縣,莒光鄉,大坪村,Daping Vil.,Z,"09007",Z03,"09007030",,1819378.75
"10018010001",新竹市,東區,南門里,Nanmen Vil.,O,"10018",O01,"10018010",,53834.89
"10018010009",新竹市,東區,竹蓮里,Zhulian Vil.,O,"10018",O01,"10018010",,70917.36
"10018010010",新竹市,東區,寺前里,Siqian Vil.,O,"10018",O01,"10018010",,37590.17
"10018010020",新竹市,東區,三民里,Sanmin Vil.,O,"10018",O01,"10018010",,413642.28
"10018010021",新竹市,東區,東園里,Dongyuan Vil.,O,"10018",O01,"10018010",,547334.83
"10018010022",新竹市,東區,東勢里,Dongshi Vil.,O,"10018",O01,"10018010",,269903.85
"10014140002",臺東縣,金峰鄉,正興村,Zhengxing Vil.,V,"10014",V15,"10014140",,202698.24
"10014140004",臺東縣,金峰鄉,賓茂村,Binmao Vil.,V,"10014",V15,"10014140",,142109.62
"10015010017",花蓮縣,花蓮市,民政里,Minzheng Vil.,U,"10015",U01,"10015010",,371735.93
"10015010020",花蓮縣,花蓮市,主商里,Zhushang Vil.,U,"10015",U01,"10015010",,59301.28
"10015010026",花蓮縣,花蓮市,民樂里,Minle Vil.,U,"10015",U01,"10015010",,187293.21
"10015010028",花蓮縣,花蓮市,主勤里,Zhuqin Vil.,U,"10015",U01,"10015010",,75276.01
"66000110029",臺中市,大甲區,建興里,Jianxing Vil.,B,"66000",B11,"66000110",,6688900.21
"66000120001",臺中市,清水區,鰲峰里,Aofeng Vil.,B,"66000",B12,"66000120",,616872.05
"10010070013",嘉義縣,新港鄉,月眉村,Yuemei Vil.,Q,"10010",Q07,"10010070",,2975515.32
"10010070014",嘉義縣,新港鄉,月潭村,Yuetan Vil.,Q,"10010",Q07,"10010070",,2151617.31
"68000030015",桃園市,大溪區,仁義里,Renyi Vil.,H,"68000",H02,"68000030",,284463.41
"68000080005",桃園市,八德區,瑞德里,Ruide Vil.,H,"68000",H08,"68000080",,459878.68
"10008040011",南投縣,竹山鎮,延平里,Yanping Vil.,M,"10008",M04,"10008040",,6105396.47
